recording_id,dataset_id,started_at_utc,camera_id,arena_id,subject_id,species,line_strain,genotype,dpf,canonical_strain,pigmentation_phenotype,melanophore_status,xanthophore_status,iridophore_status,pigment_pattern_status,optical_transparency,pigmentation_value_origin,role,labeling_state
2026-07-21T20-56-02Z_arena_3_Batman,2026-07-21T20-56-02Z_arena_3:z969b9506f522,2026-07-21T20-56-02Z,2010095,arena_3,25ad7ada-58bf-4481-990f-c1a15c088c06,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-21T20-56-02Z_arena_4_Batman,2026-07-21T20-56-02Z_arena_4:zbdcf72118b11,2026-07-21T20-56-02Z,2010096,arena_4,e54a2a1c-1360-46f6-a368-d1b24538dd03,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-21T23-29-15Z_arena_1_Batman,2026-07-21T23-29-15Z_arena_1:zd83d6232d05f,2026-07-21T23-29-15Z,2010093,arena_1,c4532888-663c-409f-8f7f-7cca8e5cd4fd,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,development,planned
2026-07-21T23-29-15Z_arena_2_Batman,2026-07-21T23-29-15Z_arena_2:zff409848f6e2,2026-07-21T23-29-15Z,2010094,arena_2,0400f889-cdda-4a74-b3d7-7385a932bac4,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,development,planned
2026-07-21T23-29-15Z_arena_3_Batman,2026-07-21T23-29-15Z_arena_3:z01fda316823d,2026-07-21T23-29-15Z,2010095,arena_3,78bf1863-dd7b-4bdc-878b-e6cfc2f9d594,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,development,planned
2026-07-21T23-29-15Z_arena_4_Batman,2026-07-21T23-29-15Z_arena_4:z2655dc79d479,2026-07-21T23-29-15Z,2010096,arena_4,02d88a02-b10c-4d73-b284-e60e81968457,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,development,planned
2026-07-22T00-06-17Z_arena_1_Batman,2026-07-22T00-06-17Z_arena_1:z1179b26c1b4d,2026-07-22T00-06-17Z,2010093,arena_1,63b02ce8-1715-4875-8ba3-642f608fcf32,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-22T00-06-17Z_arena_2_Batman,2026-07-22T00-06-17Z_arena_2:z4f7922e62277,2026-07-22T00-06-17Z,2010094,arena_2,5203bc48-1992-4d8b-9a2a-eb74b0064258,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-22T00-06-18Z_arena_3_Batman,2026-07-22T00-06-18Z_arena_3:ze8c53b9d2975,2026-07-22T00-06-18Z,2010095,arena_3,24a6bc39-31af-41f6-9558-d8fe8806451d,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-22T00-06-18Z_arena_4_Batman,2026-07-22T00-06-18Z_arena_4:z4ee93cee24b2,2026-07-22T00-06-18Z,2010096,arena_4,167e61d4-1af9-4dda-bd7e-74d203c060a3,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-22T00-40-31Z_arena_1_Batman,2026-07-22T00-40-31Z_arena_1:z4e4301c012d4,2026-07-22T00-40-31Z,2010093,arena_1,14391ff1-fb06-4c1c-949a-7da4aa744bfd,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-22T00-40-31Z_arena_2_Batman,2026-07-22T00-40-31Z_arena_2:z99231a6f8841,2026-07-22T00-40-31Z,2010094,arena_2,fbcf0e36-572d-4e3b-a646-6f26b8feec25,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-22T00-40-31Z_arena_3_Batman,2026-07-22T00-40-31Z_arena_3:zef0390c30bbd,2026-07-22T00-40-31Z,2010095,arena_3,e2fa4757-4822-4a36-88b8-1f03f94ab1c7,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-22T00-40-31Z_arena_4_Batman,2026-07-22T00-40-31Z_arena_4:zf092b5fc1406,2026-07-22T00-40-31Z,2010096,arena_4,44803480-835e-409c-a918-74866a9c9d23,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-22T01-08-24Z_arena_1_Batman,2026-07-22T01-08-24Z_arena_1:za38dcbde1aa3,2026-07-22T01-08-24Z,2010093,arena_1,e9242ca9-b768-4390-b783-dea8fcc34229,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-22T01-08-24Z_arena_2_Batman,2026-07-22T01-08-24Z_arena_2:zf34fad7d439c,2026-07-22T01-08-24Z,2010094,arena_2,a901b47f-bcb6-4bf8-bb22-21973a6fdfad,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-22T01-08-24Z_arena_3_Batman,2026-07-22T01-08-24Z_arena_3:z1ab1b6b0a3e4,2026-07-22T01-08-24Z,2010095,arena_3,061060a4-bfce-4c4a-a97e-786f7ffc9525,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-22T01-08-24Z_arena_4_Batman,2026-07-22T01-08-24Z_arena_4:z195255a49a04,2026-07-22T01-08-24Z,2010096,arena_4,09ef8f1f-07a3-48b9-a608-c1cce8c0247b,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,7,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-22T15-44-40Z_arena_1_Batman,2026-07-22T15-44-40Z_arena_1:za2078074979c,2026-07-22T15-44-40Z,2010093,arena_1,587db689-8953-4769-a96b-6b89ff81fcd8,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,8,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-22T15-44-40Z_arena_2_Batman,2026-07-22T15-44-40Z_arena_2:z025fde3fdad7,2026-07-22T15-44-40Z,2010094,arena_2,149f51f7-7a3d-4045-a54f-c27902fa58cb,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,8,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-22T15-44-40Z_arena_3_Batman,2026-07-22T15-44-40Z_arena_3:ze9851d5ea8c1,2026-07-22T15-44-40Z,2010095,arena_3,40dc9b9f-d739-421c-b5c5-2b68e0fe6df0,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,8,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-22T15-44-40Z_arena_4_Batman,2026-07-22T15-44-40Z_arena_4:z70a0ee549a65,2026-07-22T15-44-40Z,2010096,arena_4,24337166-d8a9-4473-8005-1b5da737a81c,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,8,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,train,planned
2026-07-22T16-15-04Z_arena_1_Batman,2026-07-22T16-15-04Z_arena_1:z87cc3a726275,2026-07-22T16-15-04Z,2010093,arena_1,473d1f45-cb83-4033-874f-ad56e8c68fd1,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,8,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,sealed_test,planned
2026-07-22T16-15-04Z_arena_2_Batman,2026-07-22T16-15-04Z_arena_2:zcae9366974dc,2026-07-22T16-15-04Z,2010094,arena_2,0cad0b23-2bdf-4c9e-80cb-d0c8864cafd0,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,8,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,sealed_test,planned
2026-07-22T16-15-04Z_arena_3_Batman,2026-07-22T16-15-04Z_arena_3:zdff9e1b367a8,2026-07-22T16-15-04Z,2010095,arena_3,23324dc4-66a7-46d5-86f3-2e91433d6250,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,8,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,sealed_test,planned
2026-07-22T16-15-04Z_arena_4_Batman,2026-07-22T16-15-04Z_arena_4:z1a0c732eb76c,2026-07-22T16-15-04Z,2010096,arena_4,d5d5f989-4f8b-4c24-baa9-c61b3201c626,Danio rerio,AB [AB IC] SEPT25,AB [AB IC] SEPT25,8,AB,wild_type_pigmented,normal,normal,normal,wild_type,normal,subject_observed,sealed_test,planned
